Evaluation,FeatureSetup,Purpose,RepresentationStage,Representation,ImbalanceStage,ClassBalance,Model,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.35,0.3848,0.0099,0.3983,0.0304,0.5455,0.0643,0.9375,0.0039,0.3191,0.0602,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.15,0.3834,0.0223,0.4148,0.021,0.3153,0.0201,0.8882,0.0069,0.6064,0.015,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.25,0.3676,0.0054,0.4061,0.0019,0.4101,0.0699,0.9208,0.0137,0.4149,0.0752,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.2,0.3612,0.0007,0.4037,0.0005,0.359,0.0363,0.9097,0.0118,0.4681,0.0602,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.4,0.3562,0.0334,0.3503,0.0015,0.5845,0.1457,0.9382,0.0069,0.2553,0.0301,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.1,0.3516,0.0183,0.3715,0.0111,0.257,0.004,0.8521,0.0029,0.6702,0.0451,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.3,0.351,0.0042,0.3825,0.013,0.44,0.0849,0.9264,0.0118,0.3511,0.0752,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.45,0.3243,0.0104,0.2998,0.0404,0.6083,0.0825,0.9389,0.002,0.2021,0.0451,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.05,0.3025,0.0027,0.3014,0.0026,0.1864,0.002,0.7618,0.0029,0.7872,0.0,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.5,0.2768,0.0241,0.2258,0.0107,0.6442,0.1496,0.9382,0.0029,0.1383,0.015,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.55,0.2049,0.0259,0.1482,0.0039,0.5833,0.1179,0.9361,0.002,0.0851,0.0,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.6,0.192,0.0156,0.1318,0.0232,0.5857,0.0202,0.9361,0.0,0.0745,0.015,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.65,0.1009,0.0434,0.0592,0.0272,0.4167,0.1179,0.934,0.001,0.0319,0.015,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.7,0.0464,0.0657,0.0204,0.0289,0.25,0.3536,0.9347,0.0,0.0106,0.015,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0,0.0,0.0,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0,0.0,0.0,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0,0.0,0.0,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0,0.0,0.0,0.8594,0.017,0.3866,0.0333
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,0.3,0.2755,0.0416,0.2689,0.0329,0.5048,0.2761,0.9264,0.0196,0.2128,0.0903,0.8182,0.0025,0.274,0.0289
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,0.1,0.2743,0.0381,0.3154,0.0284,0.2263,0.015,0.8528,0.002,0.5213,0.0752,0.8182,0.0025,0.274,0.0289
CV,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,0.25,0.2655,0.0146,0.2863,0.0513,0.3983,0.1022,0.9229,0.0147,0.2447,0.1053,0.8182,0.0025,0.274,0.0289
