Evaluation,RepresentationStage,Representation,ImbalanceStage,ImbalanceMethod,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.8,0.0972,0.1564,0.06,0.0966,0.3,0.483,0.9368,0.0061,0.0333,0.0537,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.85,0.0324,0.1024,0.02,0.0632,0.1,0.3162,0.9354,0.0047,0.0111,0.0351,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8464,0.0604,0.3934,0.1126
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.05,0.3218,0.0625,0.3083,0.0487,0.1894,0.0345,0.7458,0.0541,0.8522,0.1139,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.1,0.3876,0.0553,0.3979,0.052,0.2796,0.0547,0.8542,0.0342,0.7256,0.1197,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.15,0.401,0.0521,0.4286,0.0466,0.3369,0.0643,0.8917,0.0213,0.6178,0.1119,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.2,0.362,0.0786,0.4018,0.07,0.3439,0.0702,0.9035,0.0162,0.4989,0.1189,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.25,0.3493,0.0674,0.3875,0.0641,0.3842,0.0918,0.9153,0.0153,0.4144,0.1022,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.3,0.2952,0.1094,0.3289,0.1076,0.3798,0.128,0.9194,0.0174,0.3089,0.1156,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.35,0.2888,0.111,0.3149,0.1121,0.4048,0.1145,0.9271,0.01,0.2667,0.1154,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.4,0.305,0.1593,0.3117,0.1506,0.4867,0.2071,0.934,0.0132,0.2356,0.1243,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.45,0.3292,0.1516,0.307,0.1368,0.615,0.2769,0.9382,0.0124,0.2133,0.1003,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.5,0.3168,0.1549,0.2754,0.1415,0.6667,0.3216,0.9396,0.0104,0.1833,0.1052,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.55,0.2848,0.1762,0.2345,0.1533,0.6417,0.3929,0.9403,0.0082,0.1511,0.1071,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.6,0.273,0.1667,0.2074,0.1431,0.6917,0.4045,0.9403,0.0075,0.1289,0.1008,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.65,0.1534,0.1818,0.1225,0.1524,0.375,0.429,0.9368,0.0083,0.0778,0.1054,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.7,0.0954,0.1739,0.0745,0.129,0.25,0.4249,0.9354,0.0081,0.0444,0.0777,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.75,0.0625,0.1379,0.04,0.0843,0.2,0.4216,0.9354,0.0066,0.0222,0.0468,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.8,0.0301,0.1035,0.02,0.0632,0.1,0.3162,0.9347,0.0059,0.0111,0.0351,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B4,B4_threshold_tuning_only,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8655,0.0648,0.4409,0.1058
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.05,0.3167,0.0654,0.3069,0.047,0.1892,0.032,0.7542,0.0393,0.8289,0.1367,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.1,0.3991,0.056,0.4051,0.0552,0.2804,0.0513,0.8521,0.0365,0.7556,0.1025,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.15,0.3975,0.1014,0.425,0.0906,0.3266,0.0833,0.8875,0.0268,0.6278,0.1364,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.2,0.3572,0.0975,0.3962,0.0835,0.3373,0.0739,0.9021,0.0184,0.4989,0.1585,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.25,0.3019,0.0619,0.3432,0.0629,0.3305,0.0518,0.9069,0.0168,0.3833,0.1229,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.3,0.2671,0.1159,0.3044,0.12,0.3328,0.0895,0.9167,0.0109,0.2989,0.1492,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.35,0.3052,0.1252,0.3286,0.1265,0.4263,0.1291,0.9292,0.0108,0.2778,0.1272,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.4,0.2993,0.1127,0.297,0.1222,0.5017,0.1316,0.9347,0.0075,0.2256,0.1225,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.45,0.3329,0.1668,0.2797,0.1557,0.7167,0.322,0.9424,0.0087,0.1822,0.1138,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.5,0.2886,0.1789,0.2335,0.164,0.6667,0.3909,0.941,0.0082,0.1511,0.1192,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.55,0.2542,0.1974,0.2037,0.1672,0.5917,0.4417,0.9403,0.0082,0.1289,0.1136,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.6,0.1951,0.1831,0.1442,0.1392,0.5167,0.4743,0.9382,0.0076,0.0867,0.0871,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.65,0.136,0.1531,0.0945,0.0999,0.4,0.4595,0.9361,0.0064,0.0544,0.0575,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.7,0.1469,0.163,0.0964,0.1018,0.45,0.4972,0.9368,0.0069,0.0544,0.0575,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.75,0.0516,0.1178,0.0382,0.0806,0.15,0.3375,0.9347,0.0059,0.0222,0.0468,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.8,0.0324,0.1024,0.02,0.0632,0.1,0.3162,0.9354,0.0047,0.0111,0.0351,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8704,0.0552,0.4378,0.0871
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8704,0.0552,0.4378,0.0871
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.05,0.2155,0.1884,0.2354,0.1889,0.1828,0.1649,0.7889,0.0852,0.5288,0.3366,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.1,0.2857,0.2042,0.2972,0.2047,0.2849,0.2272,0.8861,0.0504,0.4551,0.317,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.15,0.2902,0.2309,0.2948,0.2188,0.3522,0.2794,0.9153,0.0483,0.3614,0.3292,0.8175,0.1493,0.4646,0.2413
